subject_id,set_id,rep_id,frame,obj_id,x,y,z,v,range_m,azimuth_deg,elev_deg,snr,noise,label
Person_B,6,1,0,0,-0.196329102,0.6698815226554871,0,-0.12173257,0.6980590022741615,-16.33482344,0,372,466,bad
Person_B,6,1,1,0,-0.196329102,0.6698815226554871,0,-0.12173257,0.6980590022741615,-16.33482344,0,361,449,bad
Person_B,6,1,2,0,-0.184058532,0.6280139088630676,0,-0.365197718,0.6544302964955059,-16.33482382,0,374,424,bad
Person_B,6,1,2,1,0,1.1343458890914917,0,-0.12173257,1.1343458890914917,0,0,372,611,bad
Person_B,6,1,3,0,-0.171787962,0.586146355,0,-0.365197718,0.6108016479155256,-16.33482269,0,402,453,bad
Person_B,6,1,3,1,0.076350205,0.6060109734535217,0,-0.365197718,0.6108016484061424,7.180755656904158,0,402,453,bad
Person_B,6,1,3,2,0,1.0907171964645386,0,-0.12173257,1.0907171964645386,0,0,432,540,bad
Person_B,6,1,4,0,0.10634492337703705,0.5571138858795166,0,-0.365197718,0.5671729229854356,10.806922919838126,0,406,430,bad
Person_B,6,1,4,1,0,1.0907171964645386,0,-0.12173257,1.0907171964645386,0,0,360,541,bad
Person_B,6,1,5,-1,0,0,0,0,0,0,0,0,0,bad
Person_B,6,1,6,0,0.051809069,0.8273245096206665,0,-0.12173257,0.8289451271500483,3.5833215863812433,0,319,630,bad
Person_B,6,1,6,1,0.054535862,0.870867908,0,-0.12173257,0.8725738211958901,3.583321586356074,0,303,646,bad
Person_B,6,1,7,0,0.051809069,0.8273245096206665,0,-0.12173257,0.8289451271500483,3.5833215863812433,0,297,697,bad
Person_B,6,1,8,-1,0,0,0,0,0,0,0,0,0,bad
Person_B,6,1,9,-1,0,0,0,0,0,0,0,0,0,bad
Person_B,6,1,10,-1,0,0,0,0,0,0,0,0,0,bad
Person_B,6,1,11,-1,0,0,0,0,0,0,0,0,0,bad
Person_B,6,1,12,0,0.051809069,0.8273245096206665,0,-0.12173257,0.8289451271500483,3.5833215863812433,0,303,508,bad
Person_B,6,1,13,-1,0,0,0,0,0,0,0,0,0,bad
Person_B,6,1,14,0,0.077713601,0.8252942562103271,0,0.12173257023096085,0.8289451207163243,5.379378735113049,0,382,599,bad
Person_B,6,1,15,0,0.081803791,0.8687307834625244,0,0.2434651404619217,0.8725737988240236,5.379378837994838,0,308,635,bad
Person_B,6,1,16,0,0,1.0907171964645386,0,0.12173257023096085,1.0907171964645386,0,0,423,493,bad
Person_B,6,1,16,1,0.076350205,0.6060109734535217,0,0.4869302809238434,0.6108016484061424,7.180755656904158,0,382,433,bad
