subject_id,set_id,rep_id,frame,obj_id,x,y,z,v,range_m,azimuth_deg,elev_deg,snr,noise,label,,,
Person_D,2,1,0,0,0.081803791,0.8687307834625244,0,-0.24346514,0.8725737988240236,5.379378837994838,0,330,566,good,,,
Person_D,2,1,1,0,-0.034084912,1.0901844501495361,0,0.12173257023096085,1.0907171570120493,-1.790784726,0,362,521,good,,,
Person_D,2,1,1,1,0.11452530324459076,0.5108644962310791,0,-0.365197718,0.5235442470247378,12.635625018625099,0,445,433,good,,,
Person_D,2,1,2,0,0.11452530324459076,0.5108644962310791,0,-0.24346514,0.5235442470247378,12.635625018625099,0,446,438,good,,,
Person_D,2,1,2,1,0.054535862,0.870867908,0,-0.12173257,0.8725738211958901,3.583321586356074,0,310,648,good,,,
Person_D,2,1,3,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,1,4,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,1,5,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,1,6,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,1,7,0,0,0.8289451003074646,0,0.12173257023096085,0.8289451003074646,0,0,291,629,good,,,
Person_D,2,1,7,1,0.025904534,0.8285402655601501,0,-0.12173257,0.8289451227651728,1.7907846128436347,0,293,571,good,,,
Person_D,2,1,8,0,0.025904534,0.8285402655601501,0,0.12173257023096085,0.8289451227651728,1.7907846128436347,0,301,715,good,,,
Person_D,2,1,9,0,0.034084912,1.0901844501495361,0,0.12173257023096085,1.0907171570120493,1.7907847261710528,0,353,643,good,,,
Person_D,2,1,9,1,0.025904534,0.8285402655601501,0,0.2434651404619217,0.8289451227651728,1.7907846128436347,0,434,537,good,,,
Person_D,2,1,10,0,0.034084912,1.0901844501495361,0,0.12173257023096085,1.0907171570120493,1.7907847261710528,0,342,531,good,,,
Person_D,2,1,10,1,0.081803791,0.8687307834625244,0,0.36519771814346313,0.8725737988240236,5.379378837994838,0,440,485,good,,,
Person_D,2,1,11,0,0.17178796231746674,0.899953306,0,0,0.9162025193568573,10.806922246612565,0,320,446,good,,,
Person_D,2,1,11,1,0.034084912,1.0901844501495361,0,0.12173257023096085,1.0907171570120493,1.7907847261710528,0,379,501,good,,,
Person_D,2,1,11,2,0.14315663278102875,0.9049492478370667,0,0.36519771814346313,0.9162024681641471,8.989299174,0,405,522,good,,,
Person_D,2,1,11,3,0.076350205,0.6060109734535217,0,0.6086628437042236,0.6108016484061424,7.180755656904158,0,335,435,good,,,
Person_D,2,1,12,0,0.070896618,1.132128119468689,0,0.12173257023096085,1.1343458067737637,3.583321962942214,0,337,566,good,,,
Person_D,2,1,12,1,0.14315663278102875,0.9049492478370667,0,0.2434651404619217,0.9162024681641471,8.989299174,0,324,570,good,,,
Person_D,2,1,12,2,0.10225474089384079,0.646392286,0,0.36519771814346313,0.6544303012604261,8.989299915803494,0,329,430,good,,,
Person_D,2,1,13,0,0.20996306836605072,0.936585009,0,0.12173257023096085,0.9598312191968371,12.635624444732686,0,368,514,good,,,
Person_D,2,1,13,1,-0.299947232,0.911760688,0,0.12173257023096085,0.9598311798738117,-18.20995615,0,368,514,good,,,
Person_D,2,1,14,0,-0.162244186,0.7237247228622437,0,0.2434651404619217,0.7416877040302494,-12.63562515,0,309,455,good,,,
Person_D,2,1,15,0,-0.174514756,0.675892711,0,0.12173257023096085,0.6980589919788679,-14.47751285,0,314,434,good,,,
Person_D,2,1,15,1,0.087257378,0.6925839781761169,0,0.12173257023096085,0.6980590353310874,7.180755656218959,0,314,434,good,,,
Person_D,2,2,16,0,-0.174514756,0.675892711,0,-0.12173257,0.6980589919788679,-14.47751285,0,327,436,good,,,
Person_D,2,2,16,1,0.087257378,0.6925839781761169,0,-0.12173257,0.6980590353310874,7.180755656218959,0,327,436,good,,,
Person_D,2,2,17,0,-0.174514756,0.675892711,0,-0.24346514,0.6980589919788679,-14.47751285,0,316,452,good,,,
Person_D,2,2,18,0,-0.174514756,0.675892711,0,-0.24346514,0.6980589919788679,-14.47751285,0,331,422,good,,,
Person_D,2,2,18,1,0.17996834218502045,0.942808211,0,-0.12173257,0.9598311969479602,10.806922447058655,0,355,534,good,,,
Person_D,2,2,19,0,0.061352841556072235,0.6515480279922485,0,-0.365197718,0.6544302896012626,5.379379164864534,0,345,440,good,,,
Person_D,2,2,19,1,0.14315663278102875,0.9049492478370667,0,-0.24346514,0.9162024681641471,8.989299174,0,299,592,good,,,
Person_D,2,2,20,0,0.14315663278102875,0.9049492478370667,0,-0.24346514,0.9162024681641471,8.989299174,0,361,565,good,,,
Person_D,2,2,21,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,2,22,0,0.054535862,0.870867908,0,-0.12173257,0.8725738211958901,3.583321586356074,0,394,519,good,,,
Person_D,2,2,23,0,0.054535862,0.870867908,0,-0.12173257,0.8725738211958901,3.583321586356074,0,334,631,good,,,
Person_D,2,2,24,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,2,25,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,2,26,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,2,27,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,2,28,-1,0,0,0,0,0,0,0,0,0,good,,,
Person_D,2,2,29,0,0.051809069,0.8273245096206665,0,0.12173257023096085,0.8289451271500483,3.5833215863812433,0,446,578,good,,,
Person_D,2,2,30,0,0.034084912,1.0901844501495361,0,0.12173257023096085,1.0907171570120493,1.7907847261710528,0,344,610,good,,,
